"Alter";"Bildung";"Kinder";"Bruttoeinkommen"
"246";47;11.5;2;182963
"247";55;11.5;0;21696
"248";63;18;0;94597
"249";61;11;0;94597
"250";35;18;1;37342
"251";45;12;1;25800
"252";58;13.5;0;131594
"253";58;11.5;0;131594
"254";42;14.5;0;77615
"255";65;10.5;0;45556
"256";72;10.5;0;45556
"257";45;15;0;61104
"258";43;13.5;1;40511
"259";54;11;0;49970
"260";51;11;1;60556
"261";53;10.5;0;39441
"262";53;11;0;141224
"263";25;13;0;34741
"264";42;12;0;141224
"265";45;11.5;1;40735
"266";40;10.5;1;49287
"267";44;12;2;101255
"268";33;9;2;33160
"269";44;18;0;66149
"270";59;9;0;24000
"271";61;9;0;24000
"272";49;14.5;1;82200
"273";57;14;0;74176
"274";51;12;0;74176
"275";20;12;0;74176
"276";57;11.5;0;85692
"277";52;10.5;0;85692
"278";22;12;0;85692
"279";47;12;0;61741
"280";53;14.5;0;96340
"281";56;12;0;35608
"282";52;10.5;0;35608
"283";25;18;0;52456
"284";57;18;2;227500
"285";58;10.5;0;48802
"286";61;13.5;0;48802
"287";28;13;0;21529
"288";56;10.5;0;37085
"289";64;11;0;110532
"290";57;11.5;0;110532
"291";35;13;0;110532
"292";25;10;0;22844
"293";60;11.5;0;64095
"294";59;10.5;0;28520
"295";46;18;0;56452
"296";92;10.5;0;36881
"297";75;15;0;63067
"298";73;11.5;0;63067
"299";67;11.5;0;25535
"300";65;11.5;0;25535
"301";40;18;2;110727
"302";37;13;1;26541
"303";28;12;1;34742
"304";64;10.5;0;33994
"305";44;11.5;1;35656
"306";66;10.5;0;43014
"307";81;9;0;21638
"308";50;11.5;0;151959
"309";53;14.5;0;44878
"310";58;11.5;0;40144
"311";57;11.5;0;40144
"312";30;10;0;24050
"313";25;11.5;0;43589
"314";47;13.5;0;72337
"315";53;10.5;1;129351
"316";64;11.5;0;46826
"317";54;12;0;88232
"318";55;12;0;46826
"319";64;11;0;55885
"320";64;10.5;0;55885
"321";54;10.5;0;71229
"322";48;14;0;71229
"323";51;18;2;106242
"324";72;18;0;51418
"325";56;11.5;0;63712
"326";57;10.5;0;109743
"327";55;9;0;109743
"328";38;14;0;109743
"329";64;18;0;271579
"330";62;10;0;271579
"331";35;16;0;73370
"332";31;16;0;61101
"333";29;18;0;72689
"334";73;10.5;0;20312
"335";69;9;0;20312
"336";38;16;1;45123
"337";65;10.5;0;88172
"338";66;11.5;0;88172
"339";52;10.5;0;95764
